frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,ftp.request.command,ftp.request.arg,ftp.response.code,ftp.response.arg
1765972646.3596632,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765972646.359785,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765972651.3625891,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765972651.3627043,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765972651.525763,42,,,0,0,,,,0,
1765972651.5268934,60,,,0,0,,,,0,
1765972656.3658688,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765972656.3660612,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765972658.2754495,74,192.168.189.133,192.168.189.128,39537,21,S,,,0,
1765972658.278298,60,,,0,0,,,,0,
1765972658.2789912,42,,,0,0,,,,0,
1765972658.2800107,74,192.168.189.128,192.168.189.133,21,39537,SA,,,0,
1765972658.2806957,66,192.168.189.133,192.168.189.128,39537,21,A,,,0,
1765972658.3124232,86,192.168.189.128,192.168.189.133,21,39537,PA,,,220,(vsFTPd 2.3.4)
1765972658.3125255,66,192.168.189.133,192.168.189.128,39537,21,A,,,0,
1765972658.3131278,82,192.168.189.133,192.168.189.128,39537,21,PA,USER,anonymous,0,
1765972658.4034965,66,192.168.189.128,192.168.189.133,21,39537,A,,,0,
1765972658.403497,100,192.168.189.128,192.168.189.133,21,39537,PA,,,331,Please specify the password.
1765972658.4039166,82,192.168.189.133,192.168.189.128,39537,21,PA,PASS,anonymous,0,
1765972658.4063194,89,192.168.189.128,192.168.189.133,21,39537,PA,,,230,Login successful.
1765972658.4079227,66,192.168.189.133,192.168.189.128,39537,21,FA,,,0,
1765972658.4087188,76,192.168.189.128,192.168.189.133,21,39537,PA,,,500,OOPS:
1765972658.4087787,54,192.168.189.133,192.168.189.128,39537,21,R,,,0,
1765972658.4093423,96,192.168.189.128,192.168.189.133,21,39537,PA,,,0,
1765972658.4098818,54,192.168.189.133,192.168.189.128,39537,21,R,,,0,
1765972659.0291965,74,192.168.189.133,192.168.189.128,40973,21,S,,,0,
1765972659.0304768,74,192.168.189.128,192.168.189.133,21,40973,SA,,,0,
1765972659.0305445,66,192.168.189.133,192.168.189.128,40973,21,A,,,0,
1765972659.034389,86,192.168.189.128,192.168.189.133,21,40973,PA,,,220,(vsFTPd 2.3.4)
1765972659.034435,66,192.168.189.133,192.168.189.128,40973,21,A,,,0,
1765972659.034784,77,192.168.189.133,192.168.189.128,40973,21,PA,USER,root,0,
1765972659.0357304,66,192.168.189.128,192.168.189.133,21,40973,A,,,0,
1765972659.0357306,100,192.168.189.128,192.168.189.133,21,40973,PA,,,331,Please specify the password.
1765972659.0359082,83,192.168.189.133,192.168.189.128,40973,21,PA,PASS,rootpasswd,0,
1765972659.0731106,66,192.168.189.128,192.168.189.133,21,40973,A,,,0,
1765972661.3713074,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765972661.3727756,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765972662.0006359,88,192.168.189.128,192.168.189.133,21,40973,PA,,,530,Login incorrect.
1765972662.00114,66,192.168.189.133,192.168.189.128,40973,21,FA,,,0,
1765972662.002834,76,192.168.189.128,192.168.189.133,21,40973,PA,,,500,OOPS:
1765972662.0028343,96,192.168.189.128,192.168.189.133,21,40973,PA,,,0,
1765972662.0028648,54,192.168.189.133,192.168.189.128,40973,21,R,,,0,
1765972662.0029335,54,192.168.189.133,192.168.189.128,40973,21,R,,,0,
1765972662.0047724,97,192.168.189.128,192.168.189.133,21,40973,FPA,,,500,OOPS: priv_sock_get_cmd
1765972662.004787,54,192.168.189.133,192.168.189.128,40973,21,R,,,0,
1765972662.41609,74,192.168.189.133,192.168.189.128,40283,21,S,,,0,
1765972662.4171407,74,192.168.189.128,192.168.189.133,21,40283,SA,,,0,
1765972662.4171948,66,192.168.189.133,192.168.189.128,40283,21,A,,,0,
