frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,ftp.request.command,ftp.request.arg,ftp.response.code,ftp.response.arg
1765973181.9468157,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765973181.9470885,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765973186.953062,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765973186.9531968,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765973191.9549894,74,192.168.189.133,192.168.189.128,44741,21,S,,,0,
1765973191.9579499,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765973191.9581225,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765973191.9676716,60,,,0,0,,,,0,
1765973191.967708,42,,,0,0,,,,0,
1765973191.9699266,74,192.168.189.128,192.168.189.133,21,44741,SA,,,0,
1765973191.9699876,66,192.168.189.133,192.168.189.128,44741,21,A,,,0,
1765973191.9755363,86,192.168.189.128,192.168.189.133,21,44741,PA,,,220,(vsFTPd 2.3.4)
1765973191.9756346,66,192.168.189.133,192.168.189.128,44741,21,A,,,0,
1765973191.9761207,82,192.168.189.133,192.168.189.128,44741,21,PA,USER,anonymous,0,
1765973191.9777687,66,192.168.189.128,192.168.189.133,21,44741,A,,,0,
1765973191.9777691,100,192.168.189.128,192.168.189.133,21,44741,PA,,,331,Please specify the password.
1765973191.9781733,82,192.168.189.133,192.168.189.128,44741,21,PA,PASS,anonymous,0,
1765973191.9809587,89,192.168.189.128,192.168.189.133,21,44741,PA,,,230,Login successful.
1765973191.9813433,66,192.168.189.133,192.168.189.128,44741,21,FA,,,0,
1765973191.9821002,76,192.168.189.128,192.168.189.133,21,44741,PA,,,500,OOPS:
1765973191.9821556,54,192.168.189.133,192.168.189.128,44741,21,R,,,0,
1765973191.9823372,96,192.168.189.128,192.168.189.133,21,44741,PA,,,0,
1765973191.9823492,54,192.168.189.133,192.168.189.128,44741,21,R,,,0,
1765973192.6099424,74,192.168.189.133,192.168.189.128,46445,21,S,,,0,
1765973192.6112118,74,192.168.189.128,192.168.189.133,21,46445,SA,,,0,
1765973192.6112776,66,192.168.189.133,192.168.189.128,46445,21,A,,,0,
1765973192.6150684,86,192.168.189.128,192.168.189.133,21,46445,PA,,,220,(vsFTPd 2.3.4)
1765973192.6151261,66,192.168.189.133,192.168.189.128,46445,21,A,,,0,
1765973192.6153328,77,192.168.189.133,192.168.189.128,46445,21,PA,USER,root,0,
1765973192.6158965,66,192.168.189.128,192.168.189.133,21,46445,A,,,0,
1765973192.6158967,100,192.168.189.128,192.168.189.133,21,46445,PA,,,331,Please specify the password.
1765973192.6164343,83,192.168.189.133,192.168.189.128,46445,21,PA,PASS,rootpasswd,0,
1765973192.6499233,66,192.168.189.128,192.168.189.133,21,46445,A,,,0,
1765973195.8130403,88,192.168.189.128,192.168.189.133,21,46445,PA,,,530,Login incorrect.
1765973195.8134072,66,192.168.189.133,192.168.189.128,46445,21,FA,,,0,
1765973195.814095,76,192.168.189.128,192.168.189.133,21,46445,PA,,,500,OOPS:
1765973195.8140953,96,192.168.189.128,192.168.189.133,21,46445,PA,,,0,
1765973195.8141296,54,192.168.189.133,192.168.189.128,46445,21,R,,,0,
1765973195.8141823,54,192.168.189.133,192.168.189.128,46445,21,R,,,0,
1765973195.814312,90,192.168.189.128,192.168.189.133,21,46445,FPA,,,500,OOPS: child died
1765973195.8143156,54,192.168.189.133,192.168.189.128,46445,21,R,,,0,
1765973196.2388735,74,192.168.189.133,192.168.189.128,39031,21,S,,,0,
1765973196.240426,74,192.168.189.128,192.168.189.133,21,39031,SA,,,0,
1765973196.2404904,66,192.168.189.133,192.168.189.128,39031,21,A,,,0,
1765973196.2443752,86,192.168.189.128,192.168.189.133,21,39031,PA,,,220,(vsFTPd 2.3.4)
1765973196.2444322,66,192.168.189.133,192.168.189.128,39031,21,A,,,0,
1765973196.244698,77,192.168.189.133,192.168.189.128,39031,21,PA,USER,root,0,
1765973196.2454543,66,192.168.189.128,192.168.189.133,21,39031,A,,,0,
1765973196.2454545,100,192.168.189.128,192.168.189.133,21,39031,PA,,,331,Please specify the password.
1765973196.245764,80,192.168.189.133,192.168.189.128,39031,21,PA,PASS,12hrs37,0,
1765973196.2909522,66,192.168.189.128,192.168.189.133,21,39031,A,,,0,
1765973196.9635422,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765973196.9637885,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765973199.6523297,88,192.168.189.128,192.168.189.133,21,39031,PA,,,530,Login incorrect.
1765973199.6526015,66,192.168.189.133,192.168.189.128,39031,21,FA,,,0,
1765973199.6533468,76,192.168.189.128,192.168.189.133,21,39031,PA,,,500,OOPS:
1765973199.6533473,96,192.168.189.128,192.168.189.133,21,39031,PA,,,0,
1765973199.653382,54,192.168.189.133,192.168.189.128,39031,21,R,,,0,
1765973199.6559994,54,192.168.189.133,192.168.189.128,39031,21,R,,,0,
1765973199.6561239,90,192.168.189.128,192.168.189.133,21,39031,FPA,,,500,OOPS: child died
