frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,ftp.request.command,ftp.request.arg,ftp.response.code,ftp.response.arg
1765974027.8582041,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765974027.858362,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765974032.8637922,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765974032.864158,81,192.168.189.133,192.168.189.1,0,0,,,,0,
1765974034.0714433,74,192.168.189.133,192.168.189.128,44029,21,S,,,0,
1765974034.073789,74,192.168.189.128,192.168.189.133,21,44029,SA,,,0,
1765974034.0738554,66,192.168.189.133,192.168.189.128,44029,21,A,,,0,
1765974034.0777774,86,192.168.189.128,192.168.189.133,21,44029,PA,,,220,(vsFTPd 2.3.4)
1765974034.07782,66,192.168.189.133,192.168.189.128,44029,21,A,,,0,
1765974034.0781145,82,192.168.189.133,192.168.189.128,44029,21,PA,USER,anonymous,0,
1765974034.0794182,66,192.168.189.128,192.168.189.133,21,44029,A,,,0,
1765974034.0794184,100,192.168.189.128,192.168.189.133,21,44029,PA,,,331,Please specify the password.
1765974034.0801125,82,192.168.189.133,192.168.189.128,44029,21,PA,PASS,anonymous,0,
1765974034.0828502,89,192.168.189.128,192.168.189.133,21,44029,PA,,,230,Login successful.
1765974034.0830727,66,192.168.189.133,192.168.189.128,44029,21,FA,,,0,
1765974034.0843518,76,192.168.189.128,192.168.189.133,21,44029,PA,,,500,OOPS:
1765974034.0843523,96,192.168.189.128,192.168.189.133,21,44029,PA,,,0,
1765974034.0843906,54,192.168.189.133,192.168.189.128,44029,21,R,,,0,
1765974034.0844438,54,192.168.189.133,192.168.189.128,44029,21,R,,,0,
1765974034.7034984,74,192.168.189.133,192.168.189.128,34763,21,S,,,0,
1765974034.704161,74,192.168.189.128,192.168.189.133,21,34763,SA,,,0,
1765974034.704214,66,192.168.189.133,192.168.189.128,34763,21,A,,,0,
1765974034.7079895,86,192.168.189.128,192.168.189.133,21,34763,PA,,,220,(vsFTPd 2.3.4)
1765974034.7080746,66,192.168.189.133,192.168.189.128,34763,21,A,,,0,
1765974034.7086122,77,192.168.189.133,192.168.189.128,34763,21,PA,USER,root,0,
1765974034.7092311,66,192.168.189.128,192.168.189.133,21,34763,A,,,0,
1765974034.7092314,100,192.168.189.128,192.168.189.133,21,34763,PA,,,331,Please specify the password.
1765974034.7094526,83,192.168.189.133,192.168.189.128,34763,21,PA,PASS,rootpasswd,0,
1765974034.7441142,66,192.168.189.128,192.168.189.133,21,34763,A,,,0,
1765974037.870012,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765974037.8703072,93,192.168.189.133,192.168.189.1,0,0,,,,0,
1765974038.3315082,88,192.168.189.128,192.168.189.133,21,34763,PA,,,530,Login incorrect.
1765974038.331799,66,192.168.189.133,192.168.189.128,34763,21,FA,,,0,
1765974038.3328109,76,192.168.189.128,192.168.189.133,21,34763,PA,,,500,OOPS:
1765974038.3328114,96,192.168.189.128,192.168.189.133,21,34763,PA,,,0,
1765974038.3328483,54,192.168.189.133,192.168.189.128,34763,21,R,,,0,
1765974038.332933,54,192.168.189.133,192.168.189.128,34763,21,R,,,0,
1765974038.3330386,97,192.168.189.128,192.168.189.133,21,34763,FPA,,,500,OOPS: priv_sock_get_cmd
1765974038.333042,54,192.168.189.133,192.168.189.128,34763,21,R,,,0,
1765974038.7445428,74,192.168.189.133,192.168.189.128,44679,21,S,,,0,
1765974038.7474227,74,192.168.189.128,192.168.189.133,21,44679,SA,,,0,
1765974038.747524,66,192.168.189.133,192.168.189.128,44679,21,A,,,0,
1765974038.7530315,86,192.168.189.128,192.168.189.133,21,44679,PA,,,220,(vsFTPd 2.3.4)
1765974038.7531285,66,192.168.189.133,192.168.189.128,44679,21,A,,,0,
1765974038.7535763,77,192.168.189.133,192.168.189.128,44679,21,PA,USER,root,0,
1765974038.754685,66,192.168.189.128,192.168.189.133,21,44679,A,,,0,
1765974038.7546854,100,192.168.189.128,192.168.189.133,21,44679,PA,,,331,Please specify the password.
1765974038.7550182,80,192.168.189.133,192.168.189.128,44679,21,PA,PASS,12hrs37,0,
1765974038.7950075,66,192.168.189.128,192.168.189.133,21,44679,A,,,0,
1765974041.4222052,88,192.168.189.128,192.168.189.133,21,44679,PA,,,530,Login incorrect.
1765974041.4226153,66,192.168.189.133,192.168.189.128,44679,21,FA,,,0,
1765974041.4237127,76,192.168.189.128,192.168.189.133,21,44679,PA,,,500,OOPS:
1765974041.423713,96,192.168.189.128,192.168.189.133,21,44679,PA,,,0,
1765974041.4237132,90,192.168.189.128,192.168.189.133,21,44679,FPA,,,500,OOPS: child died
1765974041.423754,54,192.168.189.133,192.168.189.128,44679,21,R,,,0,
1765974041.4238548,54,192.168.189.133,192.168.189.128,44679,21,R,,,0,
1765974041.4238715,54,192.168.189.133,192.168.189.128,44679,21,R,,,0,
1765974041.844939,74,192.168.189.133,192.168.189.128,40701,21,S,,,0,
1765974041.8489056,74,192.168.189.128,192.168.189.133,21,40701,SA,,,0,
1765974041.8489997,66,192.168.189.133,192.168.189.128,40701,21,A,,,0,
1765974041.8526666,86,192.168.189.128,192.168.189.133,21,40701,PA,,,220,(vsFTPd 2.3.4)
1765974041.852729,66,192.168.189.133,192.168.189.128,40701,21,A,,,0,
1765974041.8530293,76,192.168.189.133,192.168.189.128,40701,21,PA,USER,ftp,0,
1765974041.8535037,66,192.168.189.128,192.168.189.133,21,40701,A,,,0,
1765974041.8538418,100,192.168.189.128,192.168.189.133,21,40701,PA,,,331,Please specify the password.
1765974041.854091,79,192.168.189.133,192.168.189.128,40701,21,PA,PASS,b1uRR3,0,
1765974041.8558936,89,192.168.189.128,192.168.189.133,21,40701,PA,,,230,Login successful.
1765974041.8560863,66,192.168.189.133,192.168.189.128,40701,21,FA,,,0,
1765974041.8567164,76,192.168.189.128,192.168.189.133,21,40701,PA,,,500,OOPS:
1765974041.8567166,96,192.168.189.128,192.168.189.133,21,40701,PA,,,0,
1765974041.8567474,54,192.168.189.133,192.168.189.128,40701,21,R,,,0,
1765974041.8567908,54,192.168.189.133,192.168.189.128,40701,21,R,,,0,
1765974041.8569133,90,192.168.189.128,192.168.189.133,21,40701,FPA,,,500,OOPS: child died
1765974041.8569164,54,192.168.189.133,192.168.189.128,40701,21,R,,,0,
1765974042.4862027,74,192.168.189.133,192.168.189.128,41217,21,S,,,0,
1765974042.4877534,74,192.168.189.128,192.168.189.133,21,41217,SA,,,0,
1765974042.487806,66,192.168.189.133,192.168.189.128,41217,21,A,,,0,
1765974042.4910636,86,192.168.189.128,192.168.189.133,21,41217,PA,,,220,(vsFTPd 2.3.4)
1765974042.491113,66,192.168.189.133,192.168.189.128,41217,21,A,,,0,
1765974042.491389,78,192.168.189.133,192.168.189.128,41217,21,PA,USER,admin,0,
