frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,ftp.request.command,ftp.request.arg,ftp.response.code,ftp.response.arg
1765974850.4040658,74,10.0.3.4,10.0.3.7,36433,21,S,,,0,
1765974850.4043903,74,10.0.3.7,10.0.3.4,21,36433,SA,,,0,
1765974850.4044416,66,10.0.3.4,10.0.3.7,36433,21,A,,,0,
1765974850.4057498,86,10.0.3.7,10.0.3.4,21,36433,PA,,,220,(vsFTPd 2.3.4)
1765974850.405761,66,10.0.3.4,10.0.3.7,36433,21,A,,,0,
1765974850.4060311,77,10.0.3.4,10.0.3.7,36433,21,PA,USER,root,0,
1765974850.4064248,66,10.0.3.7,10.0.3.4,21,36433,A,,,0,
1765974850.406425,100,10.0.3.7,10.0.3.4,21,36433,PA,,,331,Please specify the password.
1765974850.406491,83,10.0.3.4,10.0.3.7,36433,21,PA,PASS,rootpasswd,0,
1765974850.4445746,66,10.0.3.7,10.0.3.4,21,36433,A,,,0,
1765974853.1245987,88,10.0.3.7,10.0.3.4,21,36433,PA,,,530,Login incorrect.
1765974853.1247594,66,10.0.3.4,10.0.3.7,36433,21,FA,,,0,
1765974853.1250975,76,10.0.3.7,10.0.3.4,21,36433,PA,,,500,OOPS:
1765974853.1250975,96,10.0.3.7,10.0.3.4,21,36433,PA,,,0,
1765974853.1250975,68,10.0.3.7,10.0.3.4,21,36433,PA,,,0,
1765974853.1251574,54,10.0.3.4,10.0.3.7,36433,21,R,,,0,
1765974853.125169,54,10.0.3.4,10.0.3.7,36433,21,R,,,0,
1765974853.1251748,54,10.0.3.4,10.0.3.7,36433,21,R,,,0,
1765974853.1252491,88,10.0.3.7,10.0.3.4,21,36433,FPA,,,500,OOPS: child died
1765974853.1252785,54,10.0.3.4,10.0.3.7,36433,21,R,,,0,
1765974853.126485,74,10.0.3.4,10.0.3.7,42997,21,S,,,0,
1765974853.1267798,74,10.0.3.7,10.0.3.4,21,42997,SA,,,0,
1765974853.1267922,66,10.0.3.4,10.0.3.7,42997,21,A,,,0,
1765974853.1280837,86,10.0.3.7,10.0.3.4,21,42997,PA,,,220,(vsFTPd 2.3.4)
1765974853.1280935,66,10.0.3.4,10.0.3.7,42997,21,A,,,0,
1765974853.128284,77,10.0.3.4,10.0.3.7,42997,21,PA,USER,root,0,
1765974853.128684,66,10.0.3.7,10.0.3.4,21,42997,A,,,0,
1765974853.1286843,100,10.0.3.7,10.0.3.4,21,42997,PA,,,331,Please specify the password.
1765974853.128793,80,10.0.3.4,10.0.3.7,42997,21,PA,PASS,12hrs37,0,
1765974853.1647005,66,10.0.3.7,10.0.3.4,21,42997,A,,,0,
1765974855.5854893,88,10.0.3.7,10.0.3.4,21,42997,PA,,,530,Login incorrect.
1765974855.5859268,66,10.0.3.4,10.0.3.7,42997,21,FA,,,0,
1765974855.5867872,76,10.0.3.7,10.0.3.4,21,42997,PA,,,500,OOPS:
1765974855.586788,96,10.0.3.7,10.0.3.4,21,42997,PA,,,0,
1765974855.586788,68,10.0.3.7,10.0.3.4,21,42997,PA,,,0,
1765974855.5869179,54,10.0.3.4,10.0.3.7,42997,21,R,,,0,
1765974855.5869713,54,10.0.3.4,10.0.3.7,42997,21,R,,,0,
1765974855.5869887,54,10.0.3.4,10.0.3.7,42997,21,R,,,0,
1765974855.5871716,88,10.0.3.7,10.0.3.4,21,42997,FPA,,,500,OOPS: child died
1765974855.5871956,54,10.0.3.4,10.0.3.7,42997,21,R,,,0,
1765974855.589679,74,10.0.3.4,10.0.3.7,37003,21,S,,,0,
1765974855.5904145,74,10.0.3.7,10.0.3.4,21,37003,SA,,,0,
1765974855.590556,66,10.0.3.4,10.0.3.7,37003,21,A,,,0,
1765974855.595028,86,10.0.3.7,10.0.3.4,21,37003,PA,,,220,(vsFTPd 2.3.4)
1765974855.5950785,66,10.0.3.4,10.0.3.7,37003,21,A,,,0,
1765974855.5956838,78,10.0.3.4,10.0.3.7,37003,21,PA,USER,admin,0,
1765974855.5964015,66,10.0.3.7,10.0.3.4,21,37003,A,,,0,
1765974855.596402,100,10.0.3.7,10.0.3.4,21,37003,PA,,,331,Please specify the password.
1765974855.5966969,78,10.0.3.4,10.0.3.7,37003,21,PA,PASS,admin,0,
1765974855.634805,66,10.0.3.7,10.0.3.4,21,37003,A,,,0,
1765974858.4758923,88,10.0.3.7,10.0.3.4,21,37003,PA,,,530,Login incorrect.
1765974858.476256,66,10.0.3.4,10.0.3.7,37003,21,FA,,,0,
1765974858.4768887,76,10.0.3.7,10.0.3.4,21,37003,PA,,,500,OOPS:
1765974858.476889,96,10.0.3.7,10.0.3.4,21,37003,PA,,,0,
1765974858.476889,68,10.0.3.7,10.0.3.4,21,37003,PA,,,0,
1765974858.476933,54,10.0.3.4,10.0.3.7,37003,21,R,,,0,
1765974858.4769652,54,10.0.3.4,10.0.3.7,37003,21,R,,,0,
1765974858.4769788,54,10.0.3.4,10.0.3.7,37003,21,R,,,0,
1765974858.4771225,88,10.0.3.7,10.0.3.4,21,37003,FPA,,,500,OOPS: child died
1765974858.4771407,54,10.0.3.4,10.0.3.7,37003,21,R,,,0,
1765974858.4795084,74,10.0.3.4,10.0.3.7,33049,21,S,,,0,
1765974858.480053,74,10.0.3.7,10.0.3.4,21,33049,SA,,,0,
1765974858.480089,66,10.0.3.4,10.0.3.7,33049,21,A,,,0,
1765974858.4831057,86,10.0.3.7,10.0.3.4,21,33049,PA,,,220,(vsFTPd 2.3.4)
1765974858.4831343,66,10.0.3.4,10.0.3.7,33049,21,A,,,0,
1765974858.4834793,83,10.0.3.4,10.0.3.7,33049,21,PA,USER,localadmin,0,
1765974858.4841113,66,10.0.3.7,10.0.3.4,21,33049,A,,,0,
1765974858.4841118,100,10.0.3.7,10.0.3.4,21,33049,PA,,,331,Please specify the password.
1765974858.4843051,83,10.0.3.4,10.0.3.7,33049,21,PA,PASS,localadmin,0,
1765974858.5238254,66,10.0.3.7,10.0.3.4,21,33049,A,,,0,
1765974861.7747982,88,10.0.3.7,10.0.3.4,21,33049,PA,,,530,Login incorrect.
1765974861.7749267,66,10.0.3.4,10.0.3.7,33049,21,FA,,,0,
1765974861.7752802,76,10.0.3.7,10.0.3.4,21,33049,PA,,,500,OOPS:
1765974861.7752805,96,10.0.3.7,10.0.3.4,21,33049,PA,,,0,
1765974861.7752805,68,10.0.3.7,10.0.3.4,21,33049,PA,,,0,
1765974861.775304,54,10.0.3.4,10.0.3.7,33049,21,R,,,0,
1765974861.7753222,54,10.0.3.4,10.0.3.7,33049,21,R,,,0,
1765974861.7753484,54,10.0.3.4,10.0.3.7,33049,21,R,,,0,
1765974861.7753956,88,10.0.3.7,10.0.3.4,21,33049,FPA,,,500,OOPS: child died
1765974861.7754016,54,10.0.3.4,10.0.3.7,33049,21,R,,,0,
1765974861.7774632,74,10.0.3.4,10.0.3.7,45035,21,S,,,0,
1765974861.7777758,74,10.0.3.7,10.0.3.4,21,45035,SA,,,0,
1765974861.7777908,66,10.0.3.4,10.0.3.7,45035,21,A,,,0,
1765974861.778955,86,10.0.3.7,10.0.3.4,21,45035,PA,,,220,(vsFTPd 2.3.4)
1765974861.7789655,66,10.0.3.4,10.0.3.7,45035,21,A,,,0,
1765974861.779094,78,10.0.3.4,10.0.3.7,45035,21,PA,USER,admin,0,
1765974861.7793045,66,10.0.3.7,10.0.3.4,21,45035,A,,,0,
1765974861.779469,100,10.0.3.7,10.0.3.4,21,45035,PA,,,331,Please specify the password.
1765974861.7795327,77,10.0.3.4,10.0.3.7,45035,21,PA,PASS,1234,0,
1765974861.8142178,66,10.0.3.7,10.0.3.4,21,45035,A,,,0,
1765974864.4758554,88,10.0.3.7,10.0.3.4,21,45035,PA,,,530,Login incorrect.
1765974864.4760695,66,10.0.3.4,10.0.3.7,45035,21,FA,,,0,
1765974864.4765484,76,10.0.3.7,10.0.3.4,21,45035,PA,,,500,OOPS:
1765974864.4765487,96,10.0.3.7,10.0.3.4,21,45035,PA,,,0,
1765974864.4765487,68,10.0.3.7,10.0.3.4,21,45035,PA,,,0,
1765974864.4765787,54,10.0.3.4,10.0.3.7,45035,21,R,,,0,
1765974864.476603,54,10.0.3.4,10.0.3.7,45035,21,R,,,0,
1765974864.476613,54,10.0.3.4,10.0.3.7,45035,21,R,,,0,
1765974864.476715,88,10.0.3.7,10.0.3.4,21,45035,FPA,,,500,OOPS: child died
1765974864.4767277,54,10.0.3.4,10.0.3.7,45035,21,R,,,0,
1765974864.4784958,74,10.0.3.4,10.0.3.7,34701,21,S,,,0,
1765974864.478921,74,10.0.3.7,10.0.3.4,21,34701,SA,,,0,
1765974864.4789464,66,10.0.3.4,10.0.3.7,34701,21,A,,,0,
1765974864.4811864,86,10.0.3.7,10.0.3.4,21,34701,PA,,,220,(vsFTPd 2.3.4)
1765974864.4812083,66,10.0.3.4,10.0.3.7,34701,21,A,,,0,
1765974864.4814594,76,10.0.3.4,10.0.3.7,34701,21,PA,USER,apc,0,
1765974864.481901,66,10.0.3.7,10.0.3.4,21,34701,A,,,0,
1765974864.4819012,100,10.0.3.7,10.0.3.4,21,34701,PA,,,331,Please specify the password.
1765974864.4820397,76,10.0.3.4,10.0.3.7,34701,21,PA,PASS,apc,0,
1765974864.5141265,66,10.0.3.7,10.0.3.4,21,34701,A,,,0,
1765974866.9246845,88,10.0.3.7,10.0.3.4,21,34701,PA,,,530,Login incorrect.
1765974866.9251103,66,10.0.3.4,10.0.3.7,34701,21,FA,,,0,
1765974866.925882,76,10.0.3.7,10.0.3.4,21,34701,PA,,,500,OOPS:
1765974866.9258826,96,10.0.3.7,10.0.3.4,21,34701,PA,,,0,
1765974866.9258826,68,10.0.3.7,10.0.3.4,21,34701,PA,,,0,
1765974866.9259343,54,10.0.3.4,10.0.3.7,34701,21,R,,,0,
1765974866.9261136,54,10.0.3.4,10.0.3.7,34701,21,R,,,0,
1765974866.9261491,54,10.0.3.4,10.0.3.7,34701,21,R,,,0,
1765974866.9264426,88,10.0.3.7,10.0.3.4,21,34701,FPA,,,500,OOPS: child died
