frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,ftp.request.command,ftp.request.arg,ftp.response.code,ftp.response.arg
1765974132.3743415,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974132.374391,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974134.5541093,74,10.0.2.129,10.0.2.128,58130,21,S,,,0,
1765974134.554553,74,10.0.2.128,10.0.2.129,21,58130,SA,,,0,
1765974134.5545707,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974134.5563529,86,10.0.2.128,10.0.2.129,21,58130,PA,,,220,(vsFTPd 2.3.4)
1765974134.556365,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974137.3817933,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974137.3820016,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974139.5953321,42,,,0,0,,,,0,
1765974139.5966816,60,,,0,0,,,,0,
1765974140.880076,77,10.0.2.129,10.0.2.128,58130,21,PA,USER,abdo,0,
1765974140.8806355,66,10.0.2.128,10.0.2.129,21,58130,A,,,0,
1765974140.8806357,100,10.0.2.128,10.0.2.129,21,58130,PA,,,331,Please specify the password.
1765974140.8806827,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974142.385517,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974142.3859541,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974142.8162372,77,10.0.2.129,10.0.2.128,58130,21,PA,PASS,saad,0,
1765974142.8536627,66,10.0.2.128,10.0.2.129,21,58130,A,,,0,
1765974146.3065615,88,10.0.2.128,10.0.2.129,21,58130,PA,,,530,Login incorrect.
1765974146.3066385,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974147.3920999,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974147.3922627,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974152.39621,42,,,0,0,,,,0,
1765974152.3972688,60,,,0,0,,,,0,
1765974152.3977404,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974152.398128,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974157.4041386,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974157.4041822,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974160.8298917,83,10.0.2.129,10.0.2.128,58130,21,PA,USER,metasploit,0,
1765974160.8305242,66,10.0.2.128,10.0.2.129,21,58130,A,,,0,
1765974160.8305244,100,10.0.2.128,10.0.2.129,21,58130,PA,,,331,Please specify the password.
1765974160.8305721,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974162.4101198,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974162.410184,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974166.621599,83,10.0.2.129,10.0.2.128,58130,21,PA,PASS,metasloite,0,
1765974166.6557577,66,10.0.2.128,10.0.2.129,21,58130,A,,,0,
1765974167.410542,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974167.4108157,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974169.737866,88,10.0.2.128,10.0.2.129,21,58130,PA,,,530,Login incorrect.
1765974169.7379837,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974172.4168856,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974172.416981,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974177.4237392,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974177.4238374,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974182.2902384,81,10.0.2.129,10.0.2.128,58130,21,PA,USER,msfadmin,0,
1765974182.2914526,66,10.0.2.128,10.0.2.129,21,58130,A,,,0,
1765974182.291453,100,10.0.2.128,10.0.2.129,21,58130,PA,,,331,Please specify the password.
1765974182.2914846,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974182.4292126,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974182.4292662,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974186.460437,81,10.0.2.129,10.0.2.128,58130,21,PA,PASS,msfadmin,0,
1765974186.462063,89,10.0.2.128,10.0.2.129,21,58130,PA,,,230,Login successful.
1765974186.4620736,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974186.4622502,72,10.0.2.129,10.0.2.128,58130,21,PA,SYST,,0,
1765974186.4627378,85,10.0.2.128,10.0.2.129,21,58130,PA,,,215,UNIX Type: L8
1765974186.4628875,72,10.0.2.129,10.0.2.128,58130,21,PA,,,0,
1765974186.4632769,81,10.0.2.128,10.0.2.129,21,58130,PA,,,0,
1765974186.463277,73,10.0.2.128,10.0.2.129,21,58130,PA,,,0,
1765974186.4633462,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974186.4636798,131,10.0.2.128,10.0.2.129,21,58130,PA,,,0,
1765974186.5072489,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974187.4346228,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974187.4346719,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974187.467823,42,,,0,0,,,,0,
1765974187.4681098,60,,,0,0,,,,0,
1765974192.4401827,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974192.4402273,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974195.4057872,71,10.0.2.129,10.0.2.128,58130,21,PA,PWD,,0,
1765974195.4064496,88,10.0.2.128,10.0.2.129,21,58130,PA,,,257,"""/home/msfadmin"""
1765974195.406464,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974197.4458568,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974197.4459622,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974200.1003864,72,10.0.2.129,10.0.2.128,58130,21,PA,,,0,
1765974200.1009033,115,10.0.2.128,10.0.2.129,21,58130,PA,,,229,Entering Extended Passive Mode (|||40940|).
1765974200.1009133,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974200.101142,74,10.0.2.129,10.0.2.128,51762,40940,S,,,0,
1765974200.1015153,74,10.0.2.128,10.0.2.129,40940,51762,SA,,,0,
1765974200.1015399,66,10.0.2.129,10.0.2.128,51762,40940,A,,,0,
1765974200.1016328,72,10.0.2.129,10.0.2.128,58130,21,PA,LIST,,0,
1765974200.1020315,105,10.0.2.128,10.0.2.129,21,58130,PA,,,150,Here comes the directory listing.
1765974200.1020315,203,10.0.2.128,10.0.2.129,40940,51762,PA,,,0,
1765974200.1020567,66,10.0.2.129,10.0.2.128,51762,40940,A,,,0,
1765974200.1021514,66,10.0.2.128,10.0.2.129,40940,51762,FA,,,0,
1765974200.102233,66,10.0.2.129,10.0.2.128,51762,40940,FA,,,0,
1765974200.1025321,66,10.0.2.128,10.0.2.129,40940,51762,A,,,0,
1765974200.1025324,90,10.0.2.128,10.0.2.129,21,58130,PA,,,226,Directory send OK.
1765974200.1026444,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974202.4515936,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974202.4516943,81,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974206.347875,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765974207.3517506,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765974207.4579396,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974207.4580767,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974208.0150867,72,10.0.2.129,10.0.2.128,58130,21,PA,,,0,
1765974208.0155947,115,10.0.2.128,10.0.2.129,21,58130,PA,,,229,Entering Extended Passive Mode (|||53415|).
1765974208.0157278,74,10.0.2.129,10.0.2.128,33112,53415,S,,,0,
1765974208.016118,74,10.0.2.128,10.0.2.129,53415,33112,SA,,,0,
1765974208.0161438,66,10.0.2.129,10.0.2.128,33112,53415,A,,,0,
1765974208.0162838,75,10.0.2.129,10.0.2.128,58130,21,PA,LIST,-l,0,
1765974208.0166266,105,10.0.2.128,10.0.2.129,21,58130,PA,,,150,Here comes the directory listing.
1765974208.0167055,203,10.0.2.128,10.0.2.129,53415,33112,PA,,,0,
1765974208.0167124,66,10.0.2.129,10.0.2.128,33112,53415,A,,,0,
1765974208.0168037,66,10.0.2.128,10.0.2.129,53415,33112,FA,,,0,
1765974208.0169182,66,10.0.2.129,10.0.2.128,33112,53415,FA,,,0,
1765974208.0172007,66,10.0.2.128,10.0.2.129,53415,33112,A,,,0,
1765974208.0172842,90,10.0.2.128,10.0.2.129,21,58130,PA,,,226,Directory send OK.
1765974208.0173073,66,10.0.2.129,10.0.2.128,58130,21,A,,,0,
1765974208.3554204,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765974209.3652186,212,10.0.2.1,239.255.255.250,0,0,,,,0,
1765974212.459107,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974212.459202,93,10.0.2.129,10.0.2.1,0,0,,,,0,
1765974213.529235,72,10.0.2.129,10.0.2.128,58130,21,PA,,,0,
1765974213.5297418,115,10.0.2.128,10.0.2.129,21,58130,PA,,,229,Entering Extended Passive Mode (|||56405|).
1765974213.5298498,74,10.0.2.129,10.0.2.128,57718,56405,S,,,0,
1765974213.5302458,74,10.0.2.128,10.0.2.129,56405,57718,SA,,,0,
1765974213.5302582,66,10.0.2.129,10.0.2.128,57718,56405,A,,,0,
1765974213.5303597,75,10.0.2.129,10.0.2.128,58130,21,PA,LIST,-a,0,
1765974213.5308952,105,10.0.2.128,10.0.2.129,21,58130,PA,,,150,Here comes the directory listing.
1765974213.5308955,819,10.0.2.128,10.0.2.129,56405,57718,PA,,,0,
